gene	test_score	p_value	P_FDR
AMIGO3	9.72647892417744	1.79531098367658e-05	0.00736223069062831
ANTXR2	15.2135831688121	8.16475582698928e-08	0.000112621672875371
APEH	7.99272857679033	0.000142170372556039	0.0366986936447721
ARID5B	11.3925695029706	1.44165390026929e-05	0.00683569207149561
ARTN	16.713996901948	1.3841274570936e-08	3.00019512949731e-05
ATP6V0B	4.68213653564453	2.83900274914396e-06	0.00205124708156007
BTG3	8.57512080082934	0.000209172862630225	0.041760261114321
C6orf57	7.06736204360551	0.00020131328559192	0.040727019763816
C8orf82	9.76687615604975	4.58814935055951e-05	0.0158218159309181
CAMKV	10.5460706938716	1.92560358880378e-05	0.00768873243497889
CCDC71	7.5397368202437	0.000199961435914164	0.040727019763816
CDC20	15.8798468426753	1.51085854382949e-07	0.000157874017363076
CDH8	10.1861319442942	2.82344308651927e-05	0.0104488053540871
CISD2	7.58336226314393	0.000151059159882894	0.0375741087361171
COL9A1	10.9163404830834	1.72395645240409e-05	0.00736223069062831
CTXN2	8.53288297916124	0.000177818560706533	0.0382161284815541
CYHR1	8.16738740774909	0.000142702361104696	0.0366986936447721
DAG1	8.16155676788136	0.000178827201093412	0.0382161284815541
DAGLA	9.17921063051982	9.39925580644152e-05	0.0274259439136802
DCTN5	7.48476133769414	0.000247549215959153	0.0469508031718529
DGAT1	8.46118362528167	0.000226404838347793	0.0438765048641603
DLX2	8.9343710230692	0.000149409890979779	0.0375741087361171
EBNA1BP2	16.7038154674247	6.67334842940903e-08	0.000103958975212992
EFCAB4A	11.1632047780173	6.55359708434666e-06	0.00382452802156892
ELOVL1	15.7394336008513	1.30138416043479e-07	0.000151891552817516
ENKUR	9.63958188881937	3.73449235311352e-05	0.0131775470869282
FAM183A	14.7500948623018	4.84030336811436e-07	0.000459012018777495
GMPPB	9.48108381801879	1.76879186821743e-05	0.00736223069062831
GPR125	8.90759121728704	0.000141635021727149	0.0366986936447721
HIST2H3PS2	8.67405109042541	0.000158205133361178	0.0382161284815541
HPR	11.9631667256533	2.7544924295908e-06	0.00205124708156007
HYAL1	8.70711847062447	0.000112297900775937	0.0307226515585767
HYAL3	7.39672772127695	0.00010936168375808	0.0307226515585767
HYI	8.24351783408699	5.98708517591806e-05	0.0189254257029593
IFITM2	6.90688325828565	0.000258356086866196	0.0483955173582814
IP6K3	8.70894938397914	0.000195683588657292	0.0406726998725628
IRF7	11.609979658405	5.03696256870523e-06	0.00305703332219858
KAT2B	15.8820951673479	6.85157682811521e-08	0.000103958975212992
KCNG2	11.8522578274965	8.03573843288774e-06	0.00442991645975945
KDM4A	13.7455769004639	5.95446106976816e-07	0.000531453163597601
KLHDC8B	9.69058714799084	3.08529371698674e-05	0.0111459908494857
KPNA4	9.76561389678822	5.9687860858082e-05	0.0189254257029593
LMBRD1	10.6570290312582	1.49908804621957e-05	0.0068926251288756
LSG1	7.73662916490623	7.09327701882145e-05	0.0219645494299139
MAD1L1	13.6080796611623	8.44714398984259e-07	0.000712047309766009
MANBA	15.3505995803443	1.56073964308057e-07	0.000157874017363076
MAPKAPK3	8.49294868425621	0.000217206350293986	0.0428009344546837
MED8	18.5384969357352	5.55919155154072e-09	1.68699226823055e-05
MEF2C	9.54241661347022	0.000113390132951974	0.0307226515585767
MOCS2	8.17910261193203	0.000164232212649496	0.0382161284815541
MON1A	11.4439655557192	8.17489361848445e-06	0.00442991645975945
MUC5AC	13.487658730181	1.23787199735048e-06	0.000988538516620992
NBPF6	7.91253978445878	0.000271709757524774	0.0485017900108635
NUDT17	7.8314495340444	0.000168618278790778	0.0382161284815541
NUP210L	266.630917087355	8.96727136989739e-12	6.83157340142238e-08
OR2D3	4.01500894872459	5.94435393575555e-05	0.0189254257029593
PDDC1	8.32598109727794	0.000175663222551359	0.0382161284815541
PIDD	11.120414297951	4.27411770353991e-06	0.00281961686590483
PPIH	11.001231432396	1.35637335867411e-05	0.0066387912810201
PRPF3	18.1539820106555	4.59849547329583e-09	1.68699226823055e-05
PTPRF	18.0955037445975	7.74061914565749e-09	1.95747357161768e-05
RAB5A	12.2237851015481	4.06425315591097e-06	0.00280304150611987
RAC2	8.24014873404951	0.000193875664713961	0.0406726998725628
RASSF1	8.21532352591104	9.20686507440704e-05	0.0273913262301918
RBM5	8.08555124704692	0.000271322325392509	0.0485017900108635
RDH10	8.4334482590616	9.8936020320517e-05	0.0283237025721359
RECQL4	8.16497384525808	0.000266180562668472	0.0485017900108635
RPL8	7.36612851310498	0.00016909814115007	0.0382161284815541
RPLP2	8.84950451244094	2.37627377021044e-05	0.00901380047885073
SEPP1	8.46396707346648	0.000281146130527099	0.0496026771917171
SFR1	11.2829556472764	1.71243819109268e-05	0.00736223069062831
SGOL1	8.50810714980121	0.000165675214848782	0.0382161284815541
SIGLEC14	15.845643914753	3.26907855230374e-08	6.20021610926308e-05
SIRPB1	8.23867290329697	5.6959210331109e-05	0.0189254257029593
SLC25A22	11.6677361653423	4.95366009845011e-06	0.00305703332219858
SPDEF	8.43066993701357	0.000166889072950926	0.0382161284815541
ST3GAL3	218.532198420994	9.00490793043218e-12	6.83157340142238e-08
SZT2	10.3904155062958	1.25196212089618e-05	0.0063320070867859
TIE1	14.5512430216775	9.5544920641899e-08	0.000120808590074961
TIGD2	8.24593816509472	0.000175814100480953	0.0382161284815541
TMEM125	18.6499968613131	5.16772191705428e-09	1.68699226823055e-05
TXNIP	9.02566502163604	7.93693257846728e-05	0.0240854156026168
UBA7	10.8091178097813	1.01728841830351e-05	0.00532252316238591
UBE2D3	9.80994275288724	2.04775351961839e-05	0.0079668113213256
WDR11	6.54416064650616	0.000266936755949465	0.0485017900108635
WDR65	7.94111951777155	0.000228448156875283	0.0438765048641603
