gene	test_score	p_value	P_FDR
ABCA7	12.2429589377808	1.62225762601054e-06	0.000344166461629319
ACE	63.522930634536	5.40941984580323e-05	0.00682883373096234
ADAM10	7.97355266024867	0.000155991864359439	0.016222076829672
ADAMTS4	7.26904233962686	0.000694872342565156	0.0495386634584837
ADRA1A	30.3986029152698	2.34257058195908e-14	7.15655312788499e-11
AGBL2	9.50309792427968	4.92840722514654e-05	0.00632616977849692
AGFG2	113.68519426924	1.26075261341896e-10	5.83575641514381e-08
AHSP	-5.05113514247572	4.39192191168245e-07	0.000108204205162822
AP1AR	6.79937981112021	0.000612928097887822	0.0450119071886369
AP4M1	10.5950339323926	1.3581267099938e-05	0.00213869953558302
APH1B	14.4058906407257	1.52552110388449e-07	4.16113122532777e-05
APOC2	334.481185955333	2.0005663792233e-11	1.20383285747335e-08
APOC4	31.5088905899104	1.11022302462516e-14	7.15655312788499e-11
APOE	413.975878101278	1.45393697081886e-11	1.16890665275748e-08
AZGP1	14.0259243618072	6.31269264306233e-07	0.000150666218941839
B4GALT3	9.21159235776894	1.33495708896092e-05	0.00212411140977896
BCAM	70.1777642733499	1.81021864165132e-12	3.07234330569154e-09
BCL7C	10.422898400799	2.69323720640813e-05	0.00388105644602681
C16orf93	10.8246738571732	9.90787643362356e-06	0.00166605738052118
C16orf98	3.95590789480728	7.62445345672171e-05	0.00909871301183001
C19orf26	8.08377541055405	0.000514768051468661	0.0403982946631172
C19orf81	7.87917715753904	0.000580728918590401	0.0439140308488533
C19orf83	7.92064952574683	0.000105428449652667	0.012018056480929
C4orf32	9.43203318453021	3.66104541935641e-05	0.0049488910425371
C6orf10	-4.44081147240456	8.96202849181009e-06	0.00155562483195908
C7orf43	15.4043549536764	7.90579675058467e-08	2.32232779548425e-05
CA12	8.05344214448935	0.000374113724620484	0.0318113582493573
CAPS	6.86957580803058	0.000491689975458565	0.0391175227871332
CASP2	12.7737968639691	1.49187420650509e-06	0.000320963077526272
CBLC	18.7967314734271	3.75333142343948e-09	1.50874046034311e-06
CCDC47	7.71996684299	0.000421305401165917	0.0345991398000504
CCDC6	10.5813669905622	1.68456518465643e-05	0.00257317331956269
CCDC81	7.77649286211066	0.000327439237013283	0.0287450249734362
CCDC89	10.7750914292749	1.66286557935491e-05	0.00256568401259053
CD14	7.09025981356791	0.000408890211060386	0.0340425130919664
CD2AP	11.8731889571529	4.66490502415429e-06	0.000901980053720971
CD33	14.1442352812689	2.29848063693083e-07	5.95072741171499e-05
CD46	9.37260211319575	4.73194104345653e-05	0.0061254575795592
CD55	8.49670307894709	0.000117995857270903	0.0131561074438908
CEACAM16	24.237957112761	1.44881884267534e-11	1.16890665275748e-08
CEACAM19	762.46189861594	2.34423591649602e-11	1.20383285747335e-08
CELF1	10.1039247554555	4.22423298145347e-05	0.00556251368893981
CEP95	8.55090973300935	8.26172986826412e-05	0.00970753259521034
CLDN15	10.7524195295717	1.00345190839901e-05	0.00166605738052118
CLEC4F	7.1800067702764	0.00049141646387163	0.0391175227871332
CLPTM1	400.462769088994	1.44230183352079e-11	1.16890665275748e-08
CLU	392.701862715688	1.81128445575496e-11	1.20383285747335e-08
