gene	test_score	p_value	P_FDR
ATXN3	8.9505089769979	2.80521331077477e-05	0.0388522043542305
B4GALNT1	13.593087891734	6.96603673744356e-07	0.00212255139389905
C14orf159	11.6049526476244	8.40551461556149e-06	0.0187987597983786
CPAMD8	14.0220863604083	5.62577046503421e-07	0.00212255139389905
DENND6B	10.4332875452191	1.90962675697959e-05	0.0313758104591508
G2E3	13.2314113874944	5.25948791296749e-07	0.00212255139389905
HIST1H4I	10.7912959272507	2.0594558883591e-05	0.0313758104591508
IL12RB1	14.877567731457	9.64401870584553e-08	0.00146926624983557
MAP1S	9.34271492555067	3.69490284009011e-05	0.046909870640644
MCOLN3	10.5891525492555	1.46969249952278e-05	0.0279884565377869
MYO19	7.99661810969693	5.2008956464511e-05	0.0482412954977587
SCFD1	15.0359348184185	2.34620281758247e-07	0.00178721999629344
SH3BP2	10.1826298140615	4.90130640902198e-05	0.0482412954977587
SLC6A7	9.62586280338545	5.38301295347487e-05	0.0482412954977587
SLC9A8	10.8202298313504	8.63743476131607e-06	0.0187987597983786
SPRR4	9.27454470986186	4.12700486357442e-05	0.0471987820065349
ZDHHC6	9.22213759453805	4.33726910463728e-05	0.0471987820065349
