gene	test_score	p_value	P_FDR
ACAP3	12.5570677173365	3.97733205792505e-06	0.00123459633879674
ADK	13.3603588590138	1.28544530719754e-06	0.000488790578061865
AGAP2-AS1	7.79799572754933	0.000260633548317846	0.0368535965611999
AMIGO3	7.74378743219865	0.000133305813526774	0.0218019507929272
AP3M1	10.3094149362717	3.28496660176869e-05	0.00703723126942279
APBB1	7.39925576326154	0.00026168234244639	0.0368535965611999
APEH	17.3017564647168	8.44118097642621e-09	1.06991968876202e-05
ARIH2	12.9306359119417	5.29829473294718e-07	0.000237889775836735
ATRIP	10.8112438893455	7.69081658857917e-06	0.00224956385215941
C10orf55	14.2681481231963	4.58594815566649e-07	0.000217975848274023
C3orf18	12.2975174000748	1.80943568295344e-06	0.000640035272970276
C3orf62	28.2346421625362	2.01172412062078e-13	3.02605940305511e-09
C3orf84	6.11161314836832	9.8629035256619e-10	1.87518453281647e-06
CADM1	8.32363722198951	0.000146927520953244	0.0232788291010296
CAMKV	12.9336084757247	1.70122793685668e-06	0.000616087545704525
CAMP	21.3288332786144	3.60842467017619e-10	9.14735653889664e-07
CCDC36	336.840450326274	1.78720371835084e-11	5.43667371122325e-08
CCDC71	12.6695959845206	1.06226439411383e-06	0.000414283113704395
CCDC83	-3.93104593276356	8.45771098644321e-05	0.0153144981075954
CD34	9.29147553830514	8.73589544215791e-05	0.0156321140794379
CDHR4	13.9109681628396	8.88580174995823e-07	0.000365278498964499
CELSR3	20.6578823631172	7.89908916054571e-10	1.71635923045572e-06
CHEK2	8.71658376237328	0.000100366462152834	0.0175468263143059
CLP1	8.97821584906915	0.000134974995345982	0.0218401029703446
CNST	10.827129035746	1.60116383646214e-05	0.00392801644396599
CNTLN	6.76527157439014	0.000273502583244323	0.0373019676178231
COL7A1	12.099041047212	3.9243612540707e-06	0.00123459633879674
CPSF3L	9.08935295988546	4.3250546392759e-05	0.00877121080845153
CTBP2	14.1876674687597	2.79584462803406e-07	0.000151331900382347
CTNNB1	11.0192176326108	2.41634485600439e-05	0.00574259457184794
DAG1	14.914551644241	1.37334477345874e-07	8.35542960172297e-05
DALRD3	10.1536748637313	1.17514653815709e-05	0.00300854530477945
DCTPP1	12.5114323143662	3.38117570930496e-06	0.00111799309866366
DHFRL1	8.86789816213653	6.27518940864435e-05	0.0120817254310735
DNAJC22	11.0083285798689	9.24395396029176e-06	0.00246667613571996
DOCK3	7.7027922487299	0.000342281618555096	0.0433841951518584
ELAVL2	8.47146805953708	0.000158314101940338	0.0246307036788555
ELP5	9.95835119815512	2.35984201407691e-05	0.0056973328625571
ENSA	13.5083470249334	9.23422486809322e-07	0.00036961200064131
EPN3	7.78522345530176	0.000251522953008343	0.03643489633578
FAM154B	7.49482340335739	0.000197199683323879	0.029994071833562
FAM212A	11.7422153468955	1.16267792525937e-05	0.00300854530477945
FBXW12	15.6051705311326	1.2103631719107e-07	7.67067660198406e-05
FOXP1	7.91985179222133	0.000302669565512725	0.0401374495574841
FXR1	7.65135573483556	0.000373910964931556	0.0458644014242659
GLRX2	11.0826735115717	8.63915169535545e-06	0.00234645530868494
GNAT1	7.7128542766146	0.000307589981670131	0.0402286089538184
GPR75	17.645025051018	2.98774704976523e-08	2.84022703918307e-05
GPX1	15.1253461519469	5.20052053643028e-08	3.95499586795522e-05
HPS6	8.46692952733221	0.000264467429583859	0.0369041248070688
IMPDH2	26.0115452371622	3.20843351886424e-12	1.27543675620956e-08
KLHDC8B	15.5733053850046	6.11176039777561e-08	4.08750238782261e-05
LRRC16B	8.05349178202285	0.00025985135544826	0.0368535965611999
MAP3K7	8.13260342211968	0.000120112255101668	0.0198576891314822
MAPKAPK3	9.24674687709473	9.8691202901291e-05	0.0174545720480074
MGMT	11.7519501922428	1.33764822607407e-06	0.000496234866306991
MMP23B	11.9384506104188	5.55757380227284e-06	0.0016906139506514
MON1A	17.2759362043527	1.64214312148303e-08	1.66513312518379e-05
MREG	7.74475998343512	0.000287374138630669	0.0386810676864821
MSS51	11.8089650873989	6.21727038641051e-06	0.00185420946230008
MST1	16.5787787014215	1.51876666798501e-08	1.65003150143228e-05
MST1R	13.7076545731553	3.73100190964593e-07	0.000189161796819048
MTHFD1	7.12040272498845	0.000336782163050775	0.043045854621868
MYOZ1	7.91555110062876	0.000373467864410948	0.0458644014242659
NCKIPSD	13.3516655633311	2.43891567830445e-07	0.000137392249877818
NDST2	14.5284446800244	3.85720644646703e-07	0.000189251967905689
NDUFAF3	16.1790082311699	3.87860179529298e-08	3.10492280560033e-05
NICN1	16.4128521339122	3.74998503360757e-08	3.10492280560033e-05
NMT2	8.35929769269696	0.000119722538324041	0.0198576891314822
NXPE2	9.4280412186419	8.42567666774485e-05	0.0153144981075954
NXPE4	8.83841252276189	4.8908054209984e-05	0.00966092863030983
ODF4	9.52412541044189	1.23062270779295e-05	0.00306848711238209
P4HTM	14.1582043888561	2.04837086181797e-07	0.000119829695416351
PARD3	9.00174443219053	0.000109246562495113	0.0186701147814682
PCMTD1	10.5219047886004	1.1868028815698e-05	0.00300854530477945
PDK1	10.1602669097644	3.0462215604099e-05	0.00681368087262273
PFAS	9.42249351394418	3.20464294789602e-05	0.00696323131964264
