gene	test_score	p_value	P_FDR
ARHGAP27	10.3560668974834	2.32051673290101e-05	0.0405456464023714
BLK	12.3089851798912	2.85576436565016e-06	0.0218066166961046
KIAA1024	10.5856188355804	2.68386483475158e-05	0.0409879837563262
NKX2-2	13.9933731653711	3.70954250428213e-07	0.00566521331253966
PINX1	11.2364470657113	1.55548546397766e-05	0.0405456464023714
PTPRE	10.7093033775226	2.38941080160648e-05	0.0405456464023714
SOX7	10.8251411626596	2.28861487387988e-05	0.0405456464023714
WNT9B	10.3960591546019	2.16767545236918e-05	0.0405456464023714
XKR6	11.9399954830232	4.5050918685563e-06	0.0229339210055306
ZIC2	10.6686635762033	2.1454566259127e-05	0.0405456464023714
