gene	test_score	p_value	P_FDR
ABCB9	7.84940611589061	0.000166997920450496	0.0271389386468274
ABHD1	12.9530251830796	1.62037453965702e-06	0.000668995715345964
ACO2	8.19915415847819	0.000158752103525228	0.0263597514505585
ADH1B	8.74569916834826	6.69269810954498e-05	0.0127797070401761
ADH6	8.83867163080914	0.000142416450276572	0.0241728188269435
AGBL2	10.1901304607574	2.37219158694124e-05	0.00575199979081181
ALPK1	7.5900542688484	0.000243324150183355	0.0360875700796207
ANO3	12.8185628142996	3.20554175614607e-06	0.00119433794797286
ARHGAP27	14.2928683783988	3.38207664318801e-07	0.0002007588389594
ARID5B	9.08981357868621	0.00016582516971908	0.0271389386468274
ARL17A	13.4584959138457	3.46991240518513e-07	0.0002007588389594
ARMC3	9.11460890138164	0.000131317447625512	0.0225393857295204
ATG13	9.23678461398023	4.47824229218297e-05	0.00924454449397121
ATG16L2	7.6975460619768	0.000346496238079586	0.0456299701112392
BLOC1S6	10.484754723	3.10505203079403e-05	0.00687431519165357
C16orf54	10.3300889912245	2.93246941858172e-05	0.00668603027436632
C1QTNF4	9.95236872771393	7.15846555998656e-06	0.00223168816110928
CADM1	7.78740889373144	0.00025998608769251	0.0374674290150074
CADM2	11.4642627951411	5.24774495114233e-06	0.00174270764942718
CCDC134	7.44029713781713	0.000266656978617719	0.0380696449099464
CD34	11.7575050434473	6.77527314230097e-06	0.00215623067753729
CDK15	9.73180016862273	6.64423465489561e-05	0.0127797070401761
CELF1	11.6912246900087	7.82279716438072e-06	0.00234315783300157
CLDN25	9.07763843307798	0.000122607876197223	0.0215282519171123
CLPB	9.53479359032097	5.28747175444488e-05	0.0107695224694533
COL9A2	10.3862227157372	2.25681319707682e-05	0.00561887523991874
CPS1	8.18650067103056	0.000210218845983046	0.03211303091237
CREB3L1	8.22287377714201	0.000246040697461369	0.0361395932155758
CRHR1	18.5867309249475	5.76492709125631e-09	1.06772451360371e-05
DDB2	10.8555493840558	1.15730472601827e-05	0.00327388648049169
DNAJB7	7.38126300716011	0.000175483758716122	0.0276359783314173
DST	9.23389287735786	6.04095576709485e-05	0.0119846286101482
EIF3C	6.69419249545837	0.000281774848505445	0.0394736310944151
EP300	7.82542308775115	0.000226687523156355	0.034032218394348
FAM180B	14.1356700157195	3.54836910965162e-07	0.0002007588389594
FNBP4	19.8636397499199	1.155291862176e-09	4.41205962165014e-06
FUT2	15.0188459946226	9.15596076733749e-08	7.66241169927184e-05
GCKR	11.0675845942846	1.35601333798308e-05	0.0036348840553706
GJC1	11.7554527602416	3.30824153005338e-06	0.0012032547050737
GOSR2	11.1328186396927	7.99671803053403e-06	0.00234918970450842
GTF3C2	15.4677911111332	7.4836941088563e-08	7.14505695043055e-05
HEXIM2	10.4166674280814	3.38292975315957e-05	0.00738251927275223
IFT80	9.28228827693621	3.93932627356097e-05	0.00824344495272841
IZUMO1	10.4235221935236	1.05588858319017e-05	0.00304334981071943
KLB	15.0197607823082	1.08267391718542e-07	8.26946337946222e-05
KLHL5	7.50389050170064	0.000309108394122237	0.0417870781293035
KRTCAP3	16.2189428819254	2.85514628606265e-08	3.63460122215775e-05
LAMB3	9.9675760085418	6.83690709363249e-05	0.0128939003410284
LARP7	9.41821919055015	2.75321404127338e-05	0.0064704765683834
LAT	7.95016487497061	0.000150398279130326	0.0252470781537897
LLGL1	8.43183209684923	0.000130913039132818	0.0225393857295204
LRP4	18.5265847398532	6.29060004087023e-09	1.06772451360371e-05
LRRC37A	16.3772651218683	1.29958135364205e-08	1.9852404758236e-05
LRRC37A2	15.9657380131974	1.91086718670519e-08	2.65367337673713e-05
MADD	13.104929238708	6.81448012906927e-07	0.000332558180496059
MAMSTR	13.9972811629108	3.28298214391509e-07	0.0002007588389594
MAPT	15.398313836676	9.25593449663253e-08	7.66241169927184e-05
MDK	12.1714680805974	5.37220973806374e-06	0.00174608246720557
MPHOSPH9	7.4386685238091	0.000346000107307898	0.0456299701112392
MTCH2	12.5624821151466	1.49321435405358e-06	0.000666883296110678
MYBPC3	8.45737436679277	0.00027418316177763	0.0387816849936581
MYL1	14.2797195245504	2.76788538644546e-07	0.000183835726797134
NDUFS3	15.948730347384	4.00065679473371e-08	4.4900679715346e-05
NFATC2IP	6.83806481871775	0.000293975694547477	0.0400961849098862
NFYC	8.50413049553095	9.64628403455903e-05	0.017134492431619
NHP2L1	9.87972168436047	2.91484086025751e-05	0.00668603027436632
NMD3	9.74187052942032	5.59273309331809e-05	0.0112413935175694
NPIPB6	8.62626567984209	0.000171994483972537	0.02736862226213
NPIPB7	7.34001103964751	0.000313048964671769	0.0419485612660171
NPIPB9	7.77568804032209	8.7682988199278e-05	0.0161378955148454
NR1H3	18.2295695829023	4.37311697965015e-09	9.54339071159081e-06
NRBP1	10.5647148179023	7.67962237946396e-06	0.00234315783300157
NTN5	14.0390956259023	1.14326193068059e-07	8.31641393003655e-05
NUP160	19.0032052314157	2.34588704017824e-09	7.16715408515256e-06
OGFOD2	7.34658872093824	0.000196946628825523	0.0306995581830478
PACSIN3	13.3136244221852	6.96639288810807e-07	0.000332558180496059
PCDH9	50.9360503437185	0.000205389066607831	0.0316921553686992
PLEKHM1	18.6152001652842	3.72961239669678e-09	9.49559316199e-06
PPP1R15A	12.0095881000732	4.65419976625192e-06	0.00161585353702874
PRPF3	12.1081628288615	2.49091352588771e-06	0.000951279875536515
PRRG2	10.628582348599	2.41280095929497e-05	0.00575905428971718
PSMC3	15.5896313801458	4.11501385189084e-08	4.4900679715346e-05
RAP1GDS1	10.4140050182696	2.28050710182615e-05	0.00561887523991874
RAPSN	13.4457261968629	1.52794680308155e-06	0.000666883296110678
