gene	test_score	p_value	P_FDR
C16orf54	12.1539551768849	4.21223637681045e-06	0.0214627484186415
CADM2	14.0605060725835	3.25506586906776e-07	0.00248784684372849
FABP2	11.4070904537619	8.99369222062685e-06	0.0221927191395063
HTT	11.3057104065334	7.76311343664293e-06	0.0221927191395063
NUPR1	10.2438106953887	3.00807464859165e-05	0.045981429078372
NXNL1	9.70673502812316	2.25303662353404e-05	0.0382665753637127
SAA4	10.7311991133092	2.09064690867011e-05	0.0382665753637127
SH2B1	10.1726458047459	1.00387319348361e-05	0.0221927191395063
SRR	14.7327627824494	6.08468185836486e-08	0.000930104468869652
TUFM	10.0367915855581	1.01628309548962e-05	0.0221927191395063
