gene	test_score	p_value	P_FDR
APOC2	31.142779639386	3.1863400806742e-14	4.83399653639083e-10
APOE	151.940530423854	1.45516931837619e-11	1.10381868645426e-07
BCL7C	11.1401713128948	1.2915886386522e-05	0.0163289093641604
DCTPP1	11.2041333430307	1.2781518002547e-05	0.0163289093641604
DGKQ	10.3929978030447	1.98669489321901e-05	0.0231847294038658
DYNC2LI1	10.129244424749	3.54224049552432e-05	0.0358262203717329
FAM13A	11.7874734531357	3.60998015447311e-06	0.00628479879429896
HSD3B7	8.9923747099187	5.06768219469267e-05	0.0480511291098015
IDUA	11.5571986526475	3.16015311341289e-06	0.00628479879429896
INO80E	8.82081554463822	3.31003132078012e-05	0.0358262203717329
MMRN1	11.4586141390961	3.72837579254437e-06	0.00628479879429896
PRSS36	14.6778613295904	1.43489858772661e-07	0.000435376929488007
PVR	18.2192742468543	2.88869950182402e-09	1.09561150355431e-05
PVRL2	136.13049978683	2.21206386541439e-11	1.11864069674006e-07
TMEM175	12.313370531447	1.832342150343e-06	0.00463307712714228
ZNF764	11.7517946264106	5.80989257403797e-06	0.008814188024073
