gene	test_score	p_value	P_FDR
AAAS	9.27466129345133	7.05189533229955e-05	0.0489722076758512
BAG5	9.05650069667693	6.67759360422071e-05	0.0485810833739448
BTN3A2	9.00244953278856	2.41509504564918e-05	0.0263555872195916
CKB	9.83086246010215	4.48860857159561e-05	0.038514874709171
CTXN2	9.91216379337522	4.26522449837874e-05	0.038514874709171
DCAF4L1	9.73377881371762	5.8681012791828e-05	0.0471857112333447
ESR2	9.09234632929597	6.56113836055017e-05	0.0485810833739448
HIST1H4J	13.4977183682346	4.82674568980102e-07	0.00122905034414633
HPS6	19.1691277173518	6.15107187407204e-09	2.4399820104215e-05
KLRD1	22.2926397265565	1.56547219631875e-10	1.19586421076789e-06
NEGR1	15.1704052950414	1.01989384715395e-07	0.000311638763936362
NKAPL	12.3848279486586	2.94870994022034e-06	0.00629234138898606
NUP210L	312.638807182563	8.96727136989739e-12	1.37001971989292e-07
OR2B6	10.4384825366865	2.91391593318924e-05	0.0296792050848434
PRSS16	10.4775998544965	1.27731370598294e-05	0.0177407261818249
PTPN1	11.734021727768	3.53258158314329e-06	0.00629234138898606
SCAND3	11.005318333068	1.68938031255284e-05	0.0215086270126518
TCF4	9.11479888372035	7.7593654894903e-05	0.0493948274785137
TRAPPC3	8.99525887889966	7.56667303091207e-05	0.0493948274785137
WDR65	10.2582312587799	2.06923358875288e-05	0.024318269822282
ZKSCAN4	18.118343624962	6.38822361676006e-09	2.4399820104215e-05
ZNF184	9.44448997592064	4.53768650847675e-05	0.038514874709171
ZSCAN31	11.4059653671286	3.70670719340715e-06	0.00629234138898606
ZSCAN9	11.2446979276799	5.00569853145727e-06	0.00764770621636042
