gene	test_score	p_value	P_FDR
AAR2	7.91714523806445	0.000400257190252384	0.0413179779537676
ABCB9	10.2672533172265	1.36144614850675e-05	0.00273272496364161
ABCD2	8.51725434058618	0.000256355838899824	0.0293520306069779
ADAM15	7.36239747200062	0.000276139663391906	0.0311778938698423
ADORA2B	14.5757603370838	7.38831569258025e-08	3.33674807466156e-05
AHSP	-5.25166538899718	1.50730102907045e-07	6.33598562542684e-05
ARL17A	189.992538022211	9.7329849396699e-06	0.00206854556394278
ARL17B	12.8399914883195	6.68653738045144e-07	0.000193267676444568
ARL6IP4	7.87782551278791	0.000297869132811712	0.032861104636602
ARMC5	13.0534138136975	1.34833418208302e-06	0.000367662747159695
ARSA	6.70803920340876	0.000393546068639061	0.0409174660717389
ATP9B	6.92490422233698	0.000536057811739377	0.0497359319978847
BCL7C	18.1628825781833	7.70762520474477e-09	4.64127497745714e-06
BST1	7.85222799958574	0.000257937163512745	0.0293520306069779
C12orf40	-3.73008154208542	0.000191417811026688	0.0240553930865887
C16orf90	3.82042726184022	0.000133220690861575	0.0185125521570335
C16orf93	15.2049519379882	8.29487034614829e-08	3.63265049219803e-05
C16orf98	6.20852087617283	5.34856185458172e-10	5.15316106149433e-07
C1orf95	8.80405800502757	0.000151730478221923	0.0204935408529274
CATSPER3	8.46440348535272	0.000231870040460325	0.0274670969240378
CCDC158	10.3829048485259	1.13600450063478e-05	0.0023123291610104
CCDC62	9.45313494528163	6.92617887014801e-05	0.0106486315990829
CCDC81	7.60119281056497	0.000392760365832023	0.0409174660717389
CCDC92	10.3243843210213	1.47447446948723e-05	0.00291905548397664
CENPV	10.9893374285147	3.99986573296207e-06	0.000963434326212798
COL17A1	8.49072133905853	0.000223869180430714	0.0267384908726006
CTDP1	9.1655064297026	7.06216732569986e-05	0.0107434149674752
CTSB	7.47803414258603	0.000238093447756937	0.0279750122518964
CXCL10	13.8901293109325	5.87823881903482e-07	0.00017698397377644
CXCL9	12.6655267005179	4.30231842485362e-07	0.000144597920641825
CYLD	8.50894062200824	0.000289693717778428	0.0322050277641064
DCST1	8.4335196909418	0.000183194450968371	0.0234725057634247
DEPDC1B	8.84823356213672	0.000140710792456811	0.0193671654531984
DGKQ	22.8030216881504	7.24067472646084e-11	1.04642231146812e-07
DNAH10	12.4099231616093	1.94604719572222e-06	0.000502219179867456
DNASE1L2	9.61141734027209	4.89582657139387e-05	0.00804028245565729
DNASE1L3	9.4826829904749	4.2983921921036e-05	0.00722329813491641
DOC2A	22.8308161287543	4.17453849266280e-11	6.70338114399587e-08
DPM3	12.6749145043854	2.10188441474024e-06	0.000532919887049578
EFNA3	19.8566374515223	1.1058609583614e-09	9.40111915896413e-07
EVA1C	7.62446258744159	0.000447612749405413	0.0443075305096372
FAHD1	6.20744624335515	0.000380629674552324	0.0401522631870817
FAM126A	13.9483506586235	5.75028930471788e-07	0.00017698397377644
FAM184A	8.32205068791774	0.000216635938527832	0.0264010413021264
FAM200B	18.0048560344257	4.04378730500810e-09	2.63719764217656e-06
FAM47E	12.5138385081017	9.1383111411325e-07	0.000253974755022398
FAM47E-STBD1	13.5995653027472	4.50101266924463e-07	0.00014783780703619
FBXL5	241.796486065732	1.078115374753e-11	4.36416436877529e-08
FCN3	8.25374788326107	0.000156650540209968	0.0209621630288376
FLAD1	8.93961220503363	8.98288927632107e-05	0.0131132036183224
GAK	9.98708670732471	7.47870054595978e-06	0.00161316687000315
GPNMB	17.9906333682064	3.53318374557432e-09	2.43150340433524e-06
GPRIN3	220.950471009008	2.4158119948936e-11	4.36416436877529e-08
HCAR1	10.0970061961569	4.27530035832513e-05	0.00722329813491641
HILPDA	7.42824418308223	0.000528115638071092	0.0497359319978847
HN1L	7.1287140467918	0.000346762782262977	0.0368486450681217
HRC	7.38149828580801	0.000508463925229408	0.0486643751484463
HS3ST6	8.79152901705997	9.69136689330519e-05	0.0140059634342047
HSD3B7	211.81200346739	2.18319806677414e-11	4.36416436877529e-08
IDUA	262.412585106342	1.80162444185505e-07	7.23252123158035e-05
IGSF9B	16.1807711378003	2.48644637101947e-08	1.28336153407048e-05
IL6R	11.8925389515881	4.22648518316748e-06	0.00100133055519896
ILDR2	8.27719592059391	0.000184656623014923	0.0234725057634247
ITGAD	10.9441079929299	1.03484231597228e-05	0.00216746973194659
ITGAX	20.5991554746089	4.00790067800472e-10	4.1372986141803e-07
ITGB3	21.6950110424355	1.40169764684117e-10	1.68811119934572e-07
ITLN1	10.8143167546369	2.01356360534088e-05	0.00373077195184442
KANK2	7.77947885750273	0.00024205511525599	0.0282111332716094
KANSL1	7.54632329738192	0.000119126251588053	0.0167146853199082
KAT8	17.2774916728872	3.34056338147093e-09	2.41389109945089e-06
KCTD6	9.99865925926079	4.58066678655777e-05	0.00760917199992333
KLHL7	11.5852851496244	6.69881322012955e-06	0.0015126757602705
KNTC1	7.61533389010209	0.000219217060355326	0.0264010413021264
LAT	8.81071692234669	6.20504832423707e-05	0.00985443498701914
LRRC37A	269.020836793195	2.93053018518563e-07	0.000106792257981636
LRRC37A2	654.74130672669	2.26236807066016e-11	4.36416436877529e-08
MAEA	6.43593950051549	0.000458220124607056	0.0450489608219128
MAP4K5	7.27836140973948	0.000414494068260551	0.0418282217442263
MAPK8IP3	11.5306475506338	7.28533688765243e-06	0.00159526801061141
MEIOB	7.4445811352059	0.000145193618012907	0.0197956430898351
MIER3	8.86421119789293	0.000167991575106163	0.0220710385766752
MIPOL1	8.10826810759271	0.000330964925908894	0.0356948142480249
MMRN1	14.4766380710403	1.53445541717367e-07	6.33598562542684e-05
MOB3A	8.85840197495533	0.000112082811044578	0.0158805959334926
MPHOSPH9	7.27475156594711	0.000410554785139849	0.0417840686960641
MSS51	10.0757196997167	4.00274603845618e-05	0.00688662925568676
MUC1	7.11901079822783	0.000531811433582496	0.0497359319978847
MYL5	7.57769355757098	0.00019966265381377	0.024875212697557
MYOZ1	8.07015124884876	0.000318851407661414	0.0346469213798703
NAP1L5	6.76935596177823	0.00053173718746824	0.0497359319978847
NCAPD3	14.7025779258735	2.62831386876883e-07	9.9958926398545e-05
NCOR1	13.065426966276	2.955777967939e-07	0.000106792257981636
NDUFAF2	13.1056398003862	1.74573740996387e-06	0.000467211056459218
NRBP1	7.14944898849238	0.000248184985895628	0.0286941553293089
NUPL2	15.1069073994363	3.04294233144375e-08	1.51643457151811e-05
OPCML	12.0478917058197	4.79730324454142e-06	0.00110048613476369
OR2A12	3.52922590678255	0.000416777188705271	0.0418282217442263
OR3A1	8.17998133555381	0.000206285742737067	0.0254806970430435
ORAI3	22.7150467880882	8.67466098952718e-11	1.13969273291497e-07
PAM	10.2277933006236	3.17052253709926e-05	0.00552052912122392
PEX26	7.62479131931488	0.000403740217920556	0.0413819406339566
PIGL	9.48337213615132	1.72688358552886e-05	0.0032411586465017
PLEKHA4	10.4659615059193	1.55875614755718e-05	0.00300361917926619
PPM1G	8.53026286399754	7.58999025399776e-05	0.0113083030052346
PRSS36	17.2026772374686	1.066266341887e-08	6.16387246918038e-06
PRSS53	210.191786274585	1.82008852434024e-11	4.36416436877529e-08
PYDC1	12.878843385257	1.81223567730093e-06	0.000476189636515511
R3HDM1	12.0920379583298	4.41145537477539e-06	0.00102829601735893
RAB7L1	15.1349443417821	3.43053597751108e-08	1.65260353156634e-05
RILPL2	17.2800115294381	1.51792592939515e-08	8.12483908578469e-06
RIT2	7.32472419281209	0.000481021127943571	0.0469710631151384
RNF40	10.10659800628	1.06997592229652e-05	0.00220904171843275
RSRC2	17.7387681999967	1.35772355580599e-08	7.54685416481083e-06
SBNO1	11.5014730213639	6.90540763137459e-06	0.00153533770905578
SEC23IP	8.72663459702915	2.35983446695842e-05	0.00426304096456039
SETD1A	12.2804827015591	7.10781423940432e-07	0.000201415943897787
SH3GL2	8.49442805012705	0.000169993322389206	0.0221328242808
SLBP	16.1653653560035	6.28110626843537e-08	2.92821121907832e-05
SLC27A2	10.2980020355128	2.59128244712858e-05	0.00462335974393856
SLC50A1	12.1227419524783	3.26723550969632e-06	0.000814104958381573
SLC5A6	8.3472107675363	0.000160349678929528	0.0212603078888948
SLC9C2	6.94975658176539	0.000432368652822479	0.0430937363488998
SLMAP	19.7327939379401	1.90447524417436e-09	1.52908201271155e-06
SMAP1	24.8628331308053	0.000492050093720442	0.0477255567412606
SNX17	9.1325410281485	8.94061649486799e-05	0.0131132036183224
SOWAHB	7.48369341598731	0.000307226070835109	0.0336365998159773
SOX6	11.072996970605	1.50729299757124e-05	0.00294370248660805
SPNS1	9.25024839249454	5.6001994098942e-05	0.00909371706424618
STK31	12.1350039252633	3.49334755700426e-06	0.000855692523624161
STX1B	19.7793308594201	7.72144015392939e-10	6.97439081903672e-07
STX4	21.7114485299609	1.74021796972568e-10	1.93458693065196e-07
TEX22	7.34257306483806	0.000506601604415846	0.0486643751484463
TIGD2	233.997875695518	2.18266515972232e-11	4.36416436877529e-08
TMEM163	13.9010891315474	3.29629514128627e-07	0.000113423946147307
TMEM175	18.3524010833673	3.29125193765378e-09	2.41389109945089e-06
TRIM16	10.7504037027071	1.71966314139738e-05	0.0032411586465017
TRPV2	8.51597052496402	7.35473727948577e-05	0.0110719440794925
TTC19	12.8487904098005	5.86811832681278e-07	0.00017698397377644
UNKL	9.56202079030792	5.88961259814225e-05	0.00945740902981686
VKORC1	18.5543729164261	4.19703471976618e-09	2.63719764217656e-06
VPS37B	9.27231608754061	3.1296209408227e-05	0.00551576607765483
WNT3	411.748738884473	2.33951746864136e-11	4.36416436877529e-08
ZNF267	14.5869009822579	6.12342090589024e-07	0.000180603426391685
ZNF391	6.69329654081241	0.000285614848774984	0.0319977193371789
ZNF513	8.68261435706193	6.88983205265892e-05	0.0106486315990829
ZNF598	8.05979623531229	0.000218718659225958	0.0264010413021264
ZNF668	13.2422902983915	3.0680855311882e-07	0.000108146273406663
ZNF678	8.51226569764594	0.000185155387284142	0.0234725057634247
ZNF688	9.23964659591032	6.46210432788674e-05	0.0101511230159369
ZNF689	15.0234042317792	2.10229641806059e-07	8.21145617130044e-05
ZNF720	7.14180438144779	0.000341684816426269	0.0365779923480921
ZNF732	8.87444572172518	0.000106561910673042	0.0152478488420476
ZNF768	6.78303569768903	0.000536867242711736	0.0497359319978847
ZNF771	10.8066786696355	2.13188788170671e-05	0.00390000552739561
ZNF785	27.1342223914031	5.78426195829707e-13	8.35941538213092e-09
ZSWIM7	15.4066159163135	4.6645073170648e-07	0.00014980324388049
