gene	test_score	p_value	P_FDR
AADACL2	5.12559548787734	0.00448480742750557	0.0303026068844535
AADAT	4.55166685941595	0.00484433388245376	0.0322285706109969
AAGAB	11.5219998656921	7.8880005672799e-06	0.000181965944896754
ABCA3	4.64105946192027	0.00814604266227181	0.0470094545301936
ABCB1	10.4285637485386	3.03663347025473e-05	0.000573272749929751
ABCB11	6.28469573751284	0.00227317327282506	0.0178238779266545
ABCB4	10.0662089400756	4.39250823138781e-05	0.000779951782111811
ABCB5	9.70818403817072	5.21338960068896e-05	0.00088942878573904
ABCB9	490.070706122347	2.34541275290212e-11	2.9950763304661e-09
ABCC8	13.1457930216224	6.43526045118747e-07	2.1844736508541e-05
ABHD1	12.5018390982257	2.57000782144523e-06	6.95219914229998e-05
ABHD14B	24.1418298909637	1.88632442998937e-11	2.9950763304661e-09
ABHD2	18.5666665843248	4.2278693879183e-09	2.90142297860069e-07
ABL2	5.43333009421774	0.00167904450269019	0.0141640326680426
ABT1	313.515773875302	1.55847068583626e-09	1.2238814896245e-07
ACACB	5.80788248525815	0.00351680096810225	0.0251896862947992
ACADS	5.96797587220447	0.00164514458759657	0.013973341889959
ACADVL	10.4214361301577	1.65775410828628e-05	0.000347398677300433
ACAT2	5.45032108712288	0.00523042285083142	0.0343323964379219
ACBD4	13.7210903857722	3.23976865002074e-07	1.23337033800082e-05
ACBD6	4.87808293999609	0.00664306454856001	0.0405791118781853
ACD	10.8371834187574	2.06997734351066e-05	0.000418806173019721
ACE	40.5636646011146	0.00127239224704401	0.0114230382343638
ACO2	12.5322064870049	1.82414262228647e-06	5.28342449629932e-05
ACOT13	5.34166770016448	0.00289937541429164	0.0216317259729349
ACOT7	7.70461603955873	0.000297550968791471	0.00361786832365368
ACOT8	8.15031063226414	0.000252390234778521	0.00315436031735092
ACP2	14.6640616404824	1.24594610295681e-07	5.29047484991761e-06
ACP5	7.4833238148784	0.000220233762551869	0.00281954737183002
ACSBG2	4.89298175478095	0.00722821484117064	0.0430668177963374
ACSS2	7.73321428594418	0.000398162666244595	0.00459546077290636
ACTA1	7.96877861498328	0.000360700206793574	0.00422712896192315
