gene	test_score	p_value	P_FDR
ATP2A3	14.216487127199	5.04577487459024e-07	0.00229963235106392
ATRIP	9.87271797320346	2.03228934123612e-05	0.0369721563608489
CAMKV	12.1870321573331	4.27395875746139e-06	0.012791958561082
FKBP4	10.409628288077	2.57415921349757e-05	0.0369721563608489
IMPDH2	10.3514863913939	2.42986068662576e-05	0.0369721563608489
PCDH15	10.2216778720369	2.71763260921709e-05	0.0369721563608489
PFKFB4	11.1357573932269	1.06915190356549e-05	0.0266664303947626
PRNP	196.1114423893	2.54702925417405e-11	3.81162927887146e-07
STX6	15.9763494629982	4.48079137127522e-08	0.000335275214355668
TRPC6	10.1216629806174	2.32025632704858e-05	0.0369721563608489
UCN2	9.37743526731175	3.4554580082391e-05	0.0423239617925697
USP19	14.2126656116062	6.14669522502886e-07	0.00229963235106392
WDR6	8.99193778020769	3.6766555516432e-05	0.0423239617925697
