gene	test_score	p_value	P_FDR
ACAD10	26.333138744387	2.29793961636915e-12	1.16988105869353e-08
ALDH2	325.001760492314	1.79983805637107e-11	5.49778532699108e-08
ARHGAP1	7.84099464212463	0.000146078232785563	0.04915129041481
ATXN2	20.1696824008612	8.91939411218345e-10	1.36225906275378e-06
BRAP	21.2090869328997	3.53697959809551e-10	6.00225437796809e-07
CDH13	10.9045733894237	1.70127849390411e-05	0.0102122623260422
CELA3B	13.3361348809138	1.66175623994569e-06	0.00141000016959392
CLVS1	8.79067903365164	0.000115007751991136	0.0418217475276339
CNNM2	10.725964064895	1.83451590539674e-05	0.0102122623260422
DSC3	7.8838388907895	5.51815205649397e-05	0.0247878636349507
EPOR	11.2029850447529	1.46831596208319e-05	0.00934399570370689
FABP6	9.21035141373411	9.36704252022524e-05	0.0376481158977369
FAM109A	12.0987426694671	2.33672066429769e-06	0.00187835445820098
FAM24B	10.3386935440587	2.98325790657472e-05	0.0146978380668115
FES	8.95571560702687	5.11590010167096e-05	0.023677315834188
FMOD	8.34087566679098	0.000148036362147663	0.04915129041481
GSTO1	10.8464794218341	8.00369326814376e-06	0.0058209717754457
HCN3	10.6062199648178	9.33862038265953e-06	0.00620124996105909
HECTD4	27.8084215398827	2.91655588569029e-13	2.22722790210739e-09
HVCN1	18.3987266122534	1.08088522576821e-08	1.26987385024292e-05
KRIT1	14.0145953063385	8.83909640592151e-07	0.000794114820044937
MAPKAPK5	9.0249758523172	6.31264633363937e-05	0.026781402070465
MEF2D	21.3902273061405	3.40014016941836e-10	6.00225437796809e-07
MYL2	11.2368016590356	9.08749457362301e-06	0.00620124996105909
NAA25	19.3041816169487	1.14519016491954e-09	1.59004448989238e-06
OBFC1	8.57245574872968	0.000107603323181493	0.0410856388737737
PCGF5	8.69013682688539	0.000129079456030579	0.0453542979807164
PLEKHA1	9.23153164212185	3.99155862611522e-05	0.0190509609052056
PMF1	27.7505274442074	9.08162434143378e-14	1.38703648566718e-09
PPP1CC	16.6599645728281	3.58751008899816e-08	3.91371725637635e-05
PRRC1	10.1950874284707	2.03338502366979e-05	0.0105746824803833
REPIN1	9.39371968682865	6.03576133550998e-05	0.0263383379649268
RERE	9.9779635219106	2.0771326812774e-05	0.0105746824803833
RGL3	8.56402204782883	8.72081906073685e-05	0.035998126895847
RNF182	10.4123151347538	1.87221466070309e-05	0.0102122623260422
SH2B3	19.6194392957106	1.66313540717056e-09	2.11675558947633e-06
SH2D2A	22.4236830558732	1.06689879153521e-10	2.32782074901675e-07
SH3PXD2A	9.01202260142658	0.000130661239517549	0.0453542979807164
SLC25A44	284.23586435163	1.41286982113797e-11	5.39469019456007e-08
SLC44A2	10.1417916325888	1.80810216219296e-05	0.0102122623260422
SLK	14.6525464296273	3.93861353087388e-07	0.00037596527785648
SMARCA4	15.8630298079246	6.26136587023041e-08	6.3753227290686e-05
SPCS2	8.74616066925874	9.9902538503116e-05	0.0391233710399511
TTC24	11.6026491076467	4.1823864815882e-06	0.00319387943666483
YY1AP1	22.9621180513074	3.62563312705788e-11	9.22904912492584e-08
ZNF441	8.35413704648084	0.000114507740485936	0.0418217475276339
