gene	test_score	p_value	P_FDR
A1BG	9.01259717024836	0.000136638438930858	0.0119320492785222
ABHD1	7.83726590931186	0.000321057384584322	0.0205288659046762
ABHD14B	7.21643732202531	0.00040104025371146	0.0240205271667667
ABHD15	8.61953770080967	2.80287458415129e-05	0.00432317028027239
ACAA1	7.46760320860038	0.000604547036291314	0.0315680465789958
ACD	8.51841201083564	0.000231978918892706	0.0162619350390749
ACO2	11.8248020385181	3.86968301901991e-06	0.001019594756839
ACOT8	10.0116071306297	3.64213479129294e-05	0.00525085885665459
ACTR1B	9.05570994467138	3.91113195106207e-05	0.00548946813748515
ACY1	13.9356443645641	6.63267479161789e-07	0.000384684480888307
ADA	6.74920914289323	0.000647734860907967	0.0329956138146518
ADD3	12.2663112298577	1.47932348149027e-06	0.000611368165812011
ADRA2B	8.75287986354876	7.34279316160213e-05	0.00768579212983588
ADSL	9.3402719836459	4.06218719468665e-05	0.00556803409225822
AGAP1	4.95188092448961	0.00116952761124112	0.0464226518311344
AGBL3	7.04956631221688	0.000481829457242733	0.0274750662894905
AHCY	8.64635910817132	0.000262915976397382	0.0177782387225876
AIFM3	9.41112839331972	6.43099796535651e-05	0.00722106360744757
AKT3	7.09133598090457	0.00050530526169601	0.0285702764030826
ALDH3B2	7.42777508066052	9.82218875832386e-05	0.00968404442611001
ALPK3	7.06699222375985	0.000550166483258452	0.0300163047956742
AMN	6.90982065469995	0.00129969806545449	0.0499066980009072
ANKRD36C	9.10013474182212	6.0072572821035e-05	0.00706176198346966
ARID3B	10.1804665110101	2.67701245927343e-05	0.00417450044924659
ARID5A	10.5275976333346	1.30863244660606e-05	0.00235276718223927
ARPC3	9.33770482665481	6.6681518529732e-05	0.00738090643102077
ARRDC3	8.52772011749805	0.000156083964551801	0.0129741956444493
AS3MT	6.53508109137491	0.000551929174688159	0.0300163047956742
ASB16	15.4379252972349	1.14618788238374e-07	0.000134738793989141
ASPDH	8.95833280127309	4.53771223746235e-05	0.00597804469076722
ATP11B	6.86130661546278	0.00017662189015033	0.0140579985691528
ATP13A5	9.33555216201141	6.85722894113727e-05	0.00738090643102077
ATXN2	7.33283674846908	0.000605250467716645	0.0315680465789958
AXIN2	10.457105282645	2.64847756952236e-05	0.00417258084715883
BATF2	12.3457240717565	3.07023500500936e-06	0.000919986889148098
BBS1	8.02230204044564	0.000229601939805035	0.0162013017075393
C11orf85	8.27700417693756	0.000166832777337422	0.0136338957394144
C12orf74	-3.23745184945474	0.00120602289724348	0.0475011389579251
C15orf53	-5.08761406374571	3.62596307081138e-07	0.000272400828073207
C16orf86	6.81945399188678	0.000904833002321248	0.039786483647923
C19orf82	7.59826726499142	0.000245840671494579	0.016923140278289
C1GALT1	5.54024924040328	0.000951496447738176	0.0407304445779686
C1orf56	8.51061820485237	0.000193675787729664	0.0148731326034408
C1orf87	11.320564740853	8.54735092403747e-06	0.00185729980840038
CACNA1C	11.4668978923234	6.24116369940531e-06	0.00151392799451289
CACNA2D4	10.6475369476091	1.10746437138598e-05	0.00216977827224622
CACNB3	7.19677925179316	0.000793294736243788	0.03704551751374
CCAR2	8.00644831418192	0.000147894906061929	0.0126100468796602
CCDC54	6.83580748921347	0.00115077465974156	0.0460274558444783
CCDC87	9.47988582048395	6.83891577000217e-05	0.00738090643102077
CCS	8.56429654910577	0.000120627486030145	0.0111871646902343
CD6	5.38514764174911	0.000658092649097775	0.0331913262822185
CDAN1	12.5452772549236	1.32933205299057e-06	0.000610122218897238
CDC25B	7.93042723772611	0.00022026929043506	0.0161060062030076
CDC25C	10.1321865676854	3.95132505642826e-05	0.00548946813748515
CDCA2	8.2986108476124	3.45761659513721e-05	0.00503231398160828
CDK10	5.48560088003369	0.00110359832716878	0.0449738390287819
CHST4	11.8290633850097	6.84355743207909e-06	0.00160897299503127
CKB	9.00625431614878	0.000105298698368284	0.0102495204360771
CKMT1B	16.3280234289597	4.15323822000602e-08	8.20629309415954e-05
CLCN6	8.51266889225742	0.000154876817910932	0.0129741956444493
CLK3	8.73636728416068	0.000107919467064899	0.0104381347828214
CNNM4	13.7018474470126	3.81544753347285e-07	0.000272400828073207
COA5	8.14623082603914	0.000186939691325771	0.0144848142325878
COG8	10.4688986989761	5.29128216526509e-05	0.00657409545118545
COPB1	6.70726440950384	0.000654843771302538	0.0331913262822185
COX6A1	6.06439610797753	0.00101820896394889	0.0423985541881931
COX8A	6.58678488184612	0.00022269009134368	0.0162013017075393
CPSF4	6.92413843768202	0.000691989080501831	0.0340681855584428
CRABP1	7.06798308411478	0.000887031928513249	0.0397805175755032
CSE1L	7.81809701092953	0.000120528928886698	0.0111871646902343
CST6	6.43148993401536	0.000897014682632924	0.039786483647923
CTDSPL	6.91747026956772	0.000981832700764351	0.0412207893765956
CTSF	7.18055826859641	0.000436600876527304	0.0257611374327809
CUX2	9.90408632368612	3.94600866149286e-05	0.00548946813748515
CYSTM1	6.99334230358095	0.000428458966234224	0.0253787206278737
DAND5	7.10227685615166	0.000481272521680065	0.0274750662894905
DCP1A	6.90811093137993	0.00113932175126041	0.0460207979183993
DDHD2	8.3504369317737	6.47319459181617e-05	0.00722106360744757
DDN	10.8864614714303	8.02647222242214e-06	0.00180383159563316
DDX10	6.82901177722694	0.000790719271887008	0.03704551751374
DNAL4	7.43656460152623	0.00047035612745816	0.0271800978319418
DPEP1	6.16700789953613	0.000518220613817677	0.0289030927750429
DRG1	6.6896885252631	0.00120343121449296	0.0475011389579251
DUSP2	8.65637762265696	0.000172219690792397	0.0139626201826998
E4F1	6.64585074654493	0.00122476733313293	0.0478692951021416
EDEM2	8.87991366241506	7.61510603048965e-05	0.00791660206516618
EEF1A2	9.17745001692155	8.12995033457886e-05	0.00839472304142123
EFNA4	8.63762688421728	0.000185413291284298	0.0144848142325878
EHBP1L1	6.87692277994691	0.000567522023736555	0.0303247257578393
EHD1	7.8194612546786	0.000291243584113254	0.0191844157431843
ELFN1	7.77362440317415	0.000562236114024506	0.0303247257578393
ELOVL2	7.02083547631528	0.000655927799657396	0.0331913262822185
EMC8	6.11519331050739	0.000777721181310365	0.0370253429681775
ENTHD1	6.76300525278348	0.00108705729554881	0.0446570150284326
F2	6.24125843120011	0.000693312767221288	0.0340681855584428
FABP12	7.2014036206244	0.000628681806889464	0.0321425776539595
FADS1	9.23506538992474	4.35210360762994e-05	0.00583410941507024
FAHD2B	5.94242560032005	0.000925490823488362	0.0401722996360965
FAM186B	6.86447034505886	0.000976212045489255	0.0411248894068149
FAM53C	9.89974583212346	3.20591049892682e-05	0.00480320825927448
FAM65A	9.50708607707173	5.40633874565044e-05	0.00664912507120283
FAM72C	7.32371025097135	0.000716416352338545	0.0348671168676358
FAM73A	9.92268614626652	4.76632682652189e-05	0.0061727971663481
FCGR1A	9.90922146769663	3.9042611403528e-05	0.00548946813748515
FERMT3	13.5099891505628	5.46000625933907e-07	0.000355530476990412
FITM2	7.66922688897132	0.000438810042719617	0.0257919041263123
FKBP11	6.37459402056056	0.000575007818348627	0.0305923056569233
FLAD1	8.62604668269807	0.000124179720756734	0.0112343704844396
FOSL1	12.5968412636068	2.97659052250765e-06	0.000919986889148098
FOXD4L6	7.79367318647876	0.000230053819561316	0.0162013017075393
FRS2	6.22126238867673	0.00111659177735912	0.0453823285680907
FTCD	9.12135004004634	4.09549755793215e-05	0.00556803409225822
FTSJ2	7.47134537446372	0.000121520045712531	0.0111871646902343
GABRA4	7.38437456007649	0.000622910932855603	0.0321425776539595
GALK1	7.59939322044402	0.000593823026171503	0.0312924258136307
GGT2	6.50326518673459	0.000795113842723905	0.03704551751374
GGT7	8.01517005157733	0.000251670854020669	0.0171943957925766
GLCCI1	9.00845040049759	0.000121427787894146	0.0111871646902343
GLT8D1	7.1254075737565	0.000938346507706744	0.0402803689066698
GLYCTK	15.6627856439315	4.5450773922262e-08	8.20629309415954e-05
GMIP	195.470569832958	2.56072940629792e-11	3.91330667870449e-07
GNL3	14.1857317840057	2.29372739468658e-07	0.000206192600268238
GPAT2	7.40301693161954	0.000310053842559554	0.0202489009486971
GPR62	19.9952829168047	1.00275954206808e-09	7.66208566094218e-06
GPR98	7.08920432206457	0.000445887476274276	0.0261074805073697
GRAP2	6.84235939354404	0.000885901401236122	0.0397805175755032
GRID2	9.47398069468036	6.47353562505115e-05	0.00722106360744757
GRINA	35.0412538170114	0.00105993135257476	0.0436600294610445
GRM2	8.77733515815137	6.85832164117883e-05	0.00738090643102077
GSDMB	11.7954945345891	3.40430403544811e-06	0.00100047258210996
GTF3C2	7.25635247779498	0.000457736666586328	0.0265974590827843
HCN3	8.20788573150291	0.000117990456005912	0.0111304330165577
HHLA2	10.6143931985986	3.36178113041763e-05	0.00493987877260021
HIC2	7.5459003539147	0.000557899019810182	0.0302333787969475
HIST1H2BO	13.0411476165268	2.33674200944556e-06	0.000809665117347789
HIST1H3F	5.89813353187739	0.00124859556338253	0.0486761158153361
HIST1H4J	7.35987842001248	0.000325599934654863	0.0206465485535088
HIST2H2AA3	10.1669637845124	5.22270265654878e-05	0.00657409545118545
HK1	6.84263286442886	0.000963927924061192	0.0408053920651056
HN1L	6.56225482257119	0.000628885664084144	0.0321425776539595
HNF1A	8.41101747290318	0.000205848208799764	0.0154204525827352
HOMER3	-3.4013510481394	0.000670536593144372	0.0335971810374829
HR	7.11579937783841	0.000668195087603296	0.0335899912130052
HSD11B2	7.26543025303025	0.000684198333566144	0.0339993042741354
HTR3E	6.38714013622516	0.00113006785552294	0.0458082147695003
HYDIN	11.0469270008033	9.20554442696009e-06	0.00192711136894252
IGFL1	7.06184207563664	0.000551255465334632	0.0300163047956742
IGLL5	11.3076479417462	1.3337991953577e-05	0.00237013015156469
INO80E	6.54512572655474	0.000349506923728926	0.0218006726874508
INPP4A	9.55515350680045	9.20610638833752e-05	0.00925577090964303
IST1	6.20072981713582	0.00110265690317113	0.0449738390287819
ITCH	7.6552692823257	0.000546923158551871	0.0300163047956742
ITIH3	8.36853373510542	0.000176617542934077	0.0140579985691528
ITIH4	12.4415203537948	1.4983400273838e-06	0.000611368165812011
ITLN1	6.7815165455401	0.00128944015659005	0.0499066980009072
ITPK1	7.64850462985651	0.000471320895528371	0.0271800978319418
KCNJ4	6.55349506144763	0.000976857404441422	0.0411248894068149
KCNK4	7.22316376300997	0.000525861412027151	0.0292225967221779
KCNS1	13.2353652583325	1.35742412266104e-06	0.000610122218897238
KDELR3	6.66312394028558	0.000347111872061934	0.0218006726874508
KDM3B	6.63258614879208	0.000684204782288367	0.0339993042741354
KDM4E	11.6177969285697	7.20014018984472e-06	0.00166715973304859
KDR	7.31039887988687	0.000590690823446427	0.0312350766917242
KIAA0247	8.07178423989588	0.000399040662582562	0.0240205271667667
KIAA0825	6.88671293411478	0.000504110636801003	0.0285702764030826
KIAA1143	8.6497321781714	9.04430553329005e-05	0.00915331636819461
KLHL6	7.07180119191761	0.00090382472016981	0.039786483647923
KRT222	6.97579474207546	0.000959594861758784	0.0408053920651056
KRTCAP3	6.42037875477745	0.000926373619442034	0.0401722996360965
LCMT2	7.287270445014	0.000308058174402492	0.0202049142541583
LDLR	7.61195162760493	0.000363719410475527	0.0225949594751504
LENEP	7.59797178311402	0.000401365822486843	0.0240205271667667
LLGL1	6.27138159303771	0.00130302136515914	0.0499066980009072
LMAN2L	15.7343610413952	4.54118764814382e-08	8.20629309415954e-05
LMBR1L	10.332094568796	5.76254001705134e-06	0.00142037317000933
LPAR2	18.8236569559245	1.71600600396005e-09	8.74133458417248e-06
LRFN4	10.6475278712705	3.68686916119021e-06	0.00100811691073039
LRIT2	12.4907330085647	1.52021923183199e-06	0.000611368165812011
LRRC3C	9.44640359402933	7.30097430766685e-05	0.00768579212983588
LRRC57	11.7775432916597	1.61055752168071e-06	0.00063109077041858
LRRFIP2	9.67572508345602	5.43869018387877e-05	0.00664912507120283
LYG1	9.9940647857153	1.25802886675741e-05	0.00233814026820996
LYSMD3	6.36999187008086	0.000788543208880776	0.03704551751374
LYSMD4	7.08372555698598	0.000174329439740495	0.0140215920953381
MAK	6.71777236148335	0.000864067749327346	0.0394169652096135
MAP4K2	13.3622615165622	1.01553595432957e-06	0.000517314015135484
MAPK1	8.70370831615208	0.000200836474631205	0.0151939752738321
MAPK10	7.02907584180489	0.000957789007452914	0.0408053920651056
MARK2	11.7217856814497	3.78639885023624e-06	0.00101515346016334
MARVELD3	6.57956644040603	0.000821202825014189	0.0379142645675735
MAS1L	16.4459890405005	5.15596254579975e-08	8.20629309415954e-05
MATN4	7.08981932056581	0.000793946251511746	0.03704551751374
MCM3AP	9.34704708202959	2.03795078905777e-05	0.00334881332885816
MED24	13.2537226954934	5.58351750279407e-07	0.000355530476990412
MEN1	6.62360775548784	0.000879143488141776	0.0397805175755032
MIEN1	10.0811826088665	2.87150896406407e-05	0.0043447920781017
MKRN2	7.1904357543722	0.000268830811201548	0.0180117925419412
MLEC	11.0347119601509	9.9904184777122e-06	0.00200886283126839
MLH1	14.8318521859669	1.14438393095107e-07	0.000134738793989141
MMEL1	7.20645087122353	0.000548952558040328	0.0300163047956742
MMP9	13.0421151248395	3.53589555079914e-07	0.000272400828073207
MRPS33	12.6961324197215	6.80317723378288e-07	0.000384684480888307
MSGN1	5.83901437817152	0.00103814947948766	0.0429945808821963
MTMR11	7.2824221054834	0.000518027779202734	0.0289030927750429
MTNR1A	6.77744756641227	0.000853452353916873	0.0391665431608338
MTRF1L	7.04867627877718	0.000397101826931645	0.0240205271667667
MTSS1L	7.78242892599267	0.000252031452528279	0.0171943957925766
MUC1	7.61548913400479	0.00031689351599018	0.0203477592914367
MYCBPAP	13.0633059789621	1.1187764532572e-06	0.00053428567995864
MYH7B	11.914903076198	1.10631045768805e-06	0.00053428567995864
MZF1	8.54910367701429	9.35181053334233e-05	0.00928015380328166
NAA40	8.23444021332496	0.000241728966886567	0.016791373054366
NAGPA	6.58194560952411	0.000935734355205442	0.0402803689066698
NANOS2	6.97035008385309	0.000565525117666055	0.0303247257578393
NCAPG2	7.54507592843125	0.00024365497974177	0.0168485764724603
NDST3	15.9363016165549	5.36990779620439e-08	8.20629309415954e-05
NDUFA13	10.5881202593025	1.70369654185487e-05	0.00286108687391496
NEXN	6.86438871464324	0.000692867851299628	0.0340681855584428
NFIA	8.35803044635849	0.000172682581764838	0.0139626201826998
NGEF	11.0549791689859	1.46089097693425e-05	0.00253696998971695
NIP7	10.5166144359542	1.29013861669414e-05	0.00234713075479998
NISCH	6.88260483754088	0.000626282118054045	0.0321425776539595
NKAPL	8.11087898915394	0.000226198791356325	0.0162013017075393
NMB	15.1733104724491	9.4334358879955e-08	0.000131056152036679
NME1-NME2	6.24715257686955	0.00059718693439248	0.0313615489051061
NMUR2	8.34658772484388	0.000225985281254726	0.0162013017075393
NOTCH2NL	6.79031822044238	0.000506644739251105	0.0285702764030826
NPAS4	7.7359174805874	0.000316738834230446	0.0203477592914367
NRBP1	5.56877049798986	0.0012914752765778	0.0499066980009072
NT5C	5.60317843882508	0.00068523659968811	0.0339993042741354
NT5DC2	11.4862940285481	3.64113706385893e-06	0.00100811691073039
NUF2	6.51370592019641	0.000763482249321323	0.0366903639438002
OCIAD1	6.22296382475271	0.000961954398937315	0.0408053920651056
OGFRL1	7.89987487981694	0.000217284156723285	0.0160776866991792
OR2AJ1	7.80311818639646	0.000187671326923988	0.0144848142325878
ORMDL3	12.0300341936696	3.69418577417235e-06	0.00100811691073039
